City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cape Town,-33.9258,18.4232,22.0,49,40,6.17,ZA,1613903406
Safaga,26.7292,33.9365,19.0,34,0,4.12,EG,1613903603
Atuona,-9.8,-139.0333,26.33,79,85,8.73,PF,1613903603
Faya,18.3851,42.4509,18.0,67,40,9.77,SA,1613903603
Bluff,-46.6,168.3333,15.0,84,0,0.89,NZ,1613903603
Malbork,54.0359,19.0266,8.0,57,0,3.09,PL,1613903604
Norman Wells,65.282,-126.8329,-37.0,74,20,1.54,CA,1613903604
Qaqortoq,60.7167,-46.0333,-8.0,79,90,2.06,GL,1613903429
Thompson,55.7435,-97.8558,-14.0,92,1,3.85,CA,1613903604
Kupang,-10.1667,123.5833,25.0,100,75,1.54,ID,1613903604
Hobart,-42.8794,147.3294,16.11,88,75,2.57,AU,1613903574
Albany,42.6001,-73.9662,-10.0,85,1,3.09,US,1613903388
Marabu,4.4148,114.0089,27.0,78,20,5.66,MY,1613903605
Bambous Virieux,-20.3428,57.7575,29.44,94,75,3.6,MU,1613903605
Dingle,10.9995,122.6711,23.38,92,100,6.08,PH,1613903605
Bud,39.447,-86.1758,-7.22,88,42,3.79,US,1613903606
Mataura,-46.1927,168.8643,15.0,84,0,0.89,NZ,1613903606
Half Moon Bay,37.4636,-122.4286,9.0,81,1,3.07,US,1613903606
Arraial do Cabo,-22.9661,-42.0278,25.0,94,20,1.03,BR,1613903606
Leh,34.1667,77.5833,-1.19,82,90,1.45,IN,1613903606
Davila,18.4726,120.5763,25.0,69,75,1.54,PH,1613903607
Lüderitz,-26.6481,15.1594,24.51,34,0,12.72,NA,1613903607
Lompoc,34.6391,-120.4579,9.0,61,1,3.6,US,1613903592
Khani,41.9563,42.9566,9.0,49,40,2.57,GE,1613903607
Jamestown,42.097,-79.2353,-13.0,92,1,1.54,US,1613903358
Guerrero Negro,27.9769,-114.0611,12.64,86,86,1.66,MX,1613903608
Cayenne,4.9333,-52.3333,26.0,89,75,3.09,GF,1613903608
Hermanus,-34.4187,19.2345,20.0,62,71,0.89,ZA,1613903608
Batagay-Alyta,67.8006,130.4114,-33.68,80,5,0.26,RU,1613903608
Kapaa,22.0752,-159.319,23.33,83,40,6.17,US,1613903609
Mackay,-21.15,149.2,27.0,89,30,4.63,AU,1613903599
Baruun-Urt,46.6806,113.2792,-15.5,87,95,5.15,MN,1613903609
Sitka,57.0531,-135.33,7.0,87,90,9.77,US,1613903544
Hilo,19.7297,-155.09,22.0,83,90,3.09,US,1613903609
New Norfolk,-42.7826,147.0587,15.56,67,61,0.51,AU,1613903610
Waitati,-45.75,170.5667,15.56,85,0,5.36,NZ,1613903610
Lebu,-37.6167,-73.65,12.43,86,21,6.81,CL,1613903610
Longyearbyen,78.2186,15.6401,-4.0,68,40,7.2,SJ,1613903352
Ushuaia,-54.8,-68.3,4.0,87,90,2.57,AR,1613903483
Bloemfontein,-29.1211,26.214,28.0,24,0,4.12,ZA,1613903611
Ilulissat,69.2167,-51.1,-16.0,72,90,4.63,GL,1613903611
Pathein,16.7833,94.7333,29.85,46,36,5.29,MM,1613903611
Busselton,-33.65,115.3333,26.67,45,0,1.79,AU,1613903611
Shiyan,32.6475,110.7781,20.98,25,0,1.65,CN,1613903611
Itarema,-2.9248,-39.9167,27.41,74,89,6.05,BR,1613903612
Saint-Philippe,-21.3585,55.7679,32.0,62,20,8.23,RE,1613903612
Vaini,-21.2,-175.2,25.0,73,75,5.66,TO,1613903612
Konakovo,56.7,36.7667,-6.43,97,99,3.27,RU,1613903612
Bredasdorp,-34.5322,20.0403,22.0,46,80,7.72,ZA,1613903612
